Index,Smiles
1012,CC(N)C1(O)CC1
1013,CCNCC1CO1
1014,CC(N)CC1CO1
1015,CCNCCCO
1016,C=CN(C=C)C=O
1017,CC(N)CCCO
1018,CC(N)=C(C)C=O
1019,CC(N)=CC(C)=O
1020,CC(N)C=CCO
1021,CC(N)C(=C)CO
1022,CC(N)C(C)CO
1023,CC(N)C(C)(C)O
1024,CC(N)C#CCO
1025,CC(N)CC(C)O
1026,CCN(C=C)C=O
1027,CCN(C)CCO
1028,CCN(C)C(C)=O
1029,CCN(C)CC=O
1030,CCN(CC)C=O
1031,CCNC=CC=O
1032,CCNC(C)CO
1033,CCNC(C)C=O
1034,CCNCC(C)O
1035,CCNCC(C)=O
